0,1,2,3,4,5,6,7,8,9,10
停放点,7:30,08:30:00,9:50,12:00,13:00:00,14:30:00,15:30,18:00,19:30,21:00
东门口,21,51,56,6,25,48,46,52,47,21
食堂,83,43,61,249,217,19,10,121,124,82
体育馆前,13,16,12,30,21,30,27,16,13,25
翠竹路,126,27,36,118,124,85,55,61,72,85
玄武公寓,83,18,19,81,98,59,61,53,77,94
研究生大厦停车点,16,9,8,20,13,7,13,5,8,17
南京林业大学文科楼旁停车点,5,4,4,8,0,10,4,4,11,6
学生公寓3栋楼下停车点,4,4,6,4,4,2,7,11,10,18
学生公寓4栋楼下停车点,8,5,3,8,1,13,13,6,11,9
学生公寓5栋楼下停车点,1,3,2,13,6,7,8,2,7,8
学生公寓6栋楼下停车点,3,2,6,12,2,9,9,17,14,10
学生公寓8栋楼下停车点,6,2,0,9,1,4,5,10,9,8
学生公寓22栋楼下停车点,31,1,3,42,57,7,2,7,53,62
教五,197,321,315,2,9,108,128,42,3,1
图书馆,65,164,157,107,113,195,195,221,198,147
水土保持学院,1,4,8,0,3,4,13,2,0,1
西门口,27,21,23,6,2,81,83,56,27,33
南大山,35,42,23,39,38,35,32,67,45,68
其他位置,29,17,12,0,20,31,43,1,25,59
合计,725,737,742,754,734,723,711,753,729,695
我们选取人流量较小和调度点之后的半个小时的时间统计，这样就能尽可能排除骑行和调度带来的不准确,,,,,,,,,,
